hours_sunlight,humidity_level,daily_temperature
10.5,65,22.3
9.2,70,21
7.8,80,18.5
6.4,90,17.2
8.1,75,19.4
11,60,24
5.5,85,16
9.8,68,21.7
7.2,77,19
6,88,17
8.7,72,20.2
10,66,22.5
4.3,92,15
7.5,78,18.7
6.8,83,17.5
11.2,62,24.3
5.9,89,16.8
8.3,74,19.6
9,71,20.8
7,82,18.3
10.1,64,22.7
8.6,73,20.1
6.5,87,17.1
9.5,69,21.2
7.3,79,18.8
5.4,86,16.2
10.8,61,23.8
8.9,70,20.9
6.7,84,17.4
9.1,72,21
11.1,63,24.1
5.8,88,16.7
8.4,74,19.7
7.1,81,18.4
10.2,65,22.4
6.6,85,17.3
9.7,67,21.5
7.4,78,18.6
6.1,86,16.9
8.8,73,20.5
10.3,64,22.6
5.7,89,16.6
7.6,76,18.9
9.3,71,21.1
10.9,62,23.9
6.2,84,17
8.2,75,19.3
9.4,70,21.3
7.9,77,19.1
